Source,Target,Type,Id,Label,timeset,Weight
1,4,Directed,16,,,1
1,5,Directed,20,,,1
1,37,Directed,131,,,1
2,15,Directed,61,,,1
2,25,Directed,112,,,1
2,51,Directed,173,,,1
3,2,Directed,9,,,1
3,4,Directed,17,,,1
3,9,Directed,32,,,1
3,16,Directed,78,,,1
3,36,Directed,127,,,1
4,10,Directed,36,,,1
4,14,Directed,47,,,1
4,23,Directed,96,,,1
4,36,Directed,128,,,1
4,46,Directed,154,,,1
4,49,Directed,165,,,1
5,1,Directed,1,,,1
5,6,Directed,26,,,1
5,14,Directed,48,,,1
5,24,Directed,107,,,1
6,2,Directed,10,,,1
6,4,Directed,18,,,1
6,5,Directed,21,,,1
6,14,Directed,49,,,1
7,11,Directed,37,,,1
7,16,Directed,79,,,1
9,41,Directed,137,,,1
9,50,Directed,169,,,1
10,4,Directed,19,,,1
11,7,Directed,29,,,1
11,9,Directed,33,,,1
11,14,Directed,50,,,1
11,15,Directed,62,,,1
11,28,Directed,118,,,1
12,44,Directed,148,,,1
13,41,Directed,138,,,1
14,1,Directed,2,,,1
14,15,Directed,63,,,1
14,23,Directed,97,,,1
14,46,Directed,155,,,1
15,5,Directed,22,,,1
15,6,Directed,27,,,1
15,7,Directed,30,,,1
15,14,Directed,51,,,1
15,17,Directed,82,,,1
15,23,Directed,98,,,1
15,25,Directed,113,,,1
15,46,Directed,156,,,1
15,51,Directed,174,,,1
16,3,Directed,13,,,1
16,14,Directed,52,,,1
16,15,Directed,64,,,1
16,19,Directed,88,,,1
17,15,Directed,65,,,1
18,1,Directed,3,,,1
18,11,Directed,38,,,1
18,23,Directed,99,,,1
18,38,Directed,133,,,1
18,39,Directed,135,,,1
18,46,Directed,157,,,1
21,41,Directed,139,,,1
22,1,Directed,4,,,1
22,2,Directed,11,,,1
22,3,Directed,14,,,1
22,6,Directed,28,,,1
22,11,Directed,39,,,1
22,15,Directed,66,,,1
22,21,Directed,90,,,1
22,41,Directed,140,,,1
22,44,Directed,149,,,1
22,49,Directed,166,,,1
23,5,Directed,23,,,1
23,14,Directed,53,,,1
23,15,Directed,67,,,1
23,46,Directed,158,,,1
24,5,Directed,24,,,1
24,21,Directed,91,,,1
24,41,Directed,141,,,1
24,51,Directed,175,,,1
25,2,Directed,12,,,1
25,49,Directed,167,,,1
25,51,Directed,176,,,1
26,14,Directed,54,,,1
26,16,Directed,80,,,1
26,46,Directed,159,,,1
27,33,Directed,125,,,1
28,11,Directed,40,,,1
29,15,Directed,68,,,1
29,23,Directed,100,,,1
30,1,Directed,5,,,1
30,14,Directed,55,,,1
30,46,Directed,160,,,1
30,50,Directed,170,,,1
31,14,Directed,56,,,1
31,15,Directed,69,,,1
31,24,Directed,108,,,1
31,30,Directed,120,,,1
31,41,Directed,142,,,1
32,36,Directed,129,,,1
33,22,Directed,93,,,1
33,27,Directed,117,,,1
35,5,Directed,25,,,1
36,7,Directed,31,,,1
36,11,Directed,41,,,1
36,23,Directed,101,,,1
36,24,Directed,109,,,1
36,29,Directed,119,,,1
36,32,Directed,124,,,1
36,45,Directed,151,,,1
36,47,Directed,164,,,1
36,50,Directed,171,,,1
37,11,Directed,42,,,1
37,50,Directed,172,,,1
38,1,Directed,6,,,1
38,3,Directed,15,,,1
38,11,Directed,43,,,1
38,15,Directed,70,,,1
38,17,Directed,83,,,1
38,18,Directed,87,,,1
38,23,Directed,102,,,1
38,25,Directed,114,,,1
38,36,Directed,130,,,1
38,39,Directed,136,,,1
38,41,Directed,143,,,1
38,49,Directed,168,,,1
39,23,Directed,103,,,1
39,33,Directed,126,,,1
39,37,Directed,132,,,1
41,9,Directed,34,,,1
41,13,Directed,46,,,1
41,21,Directed,92,,,1
41,24,Directed,110,,,1
41,51,Directed,177,,,1
42,17,Directed,84,,,1
42,23,Directed,104,,,1
42,45,Directed,152,,,1
43,15,Directed,71,,,1
43,17,Directed,85,,,1
43,23,Directed,105,,,1
43,46,Directed,161,,,1
44,1,Directed,7,,,1
44,12,Directed,45,,,1
45,15,Directed,72,,,1
45,16,Directed,81,,,1
45,22,Directed,94,,,1
45,31,Directed,123,,,1
45,41,Directed,144,,,1
45,44,Directed,150,,,1
46,1,Directed,8,,,1
46,14,Directed,57,,,1
46,15,Directed,73,,,1
46,23,Directed,106,,,1
47,15,Directed,74,,,1
47,17,Directed,86,,,1
49,11,Directed,44,,,1
49,15,Directed,75,,,1
49,22,Directed,95,,,1
49,25,Directed,115,,,1
49,30,Directed,121,,,1
49,38,Directed,134,,,1
49,41,Directed,145,,,1
49,42,Directed,147,,,1
49,45,Directed,153,,,1
50,9,Directed,35,,,1
50,14,Directed,58,,,1
50,15,Directed,76,,,1
50,46,Directed,162,,,1
51,14,Directed,59,,,1
51,24,Directed,111,,,1
51,25,Directed,116,,,1
52,14,Directed,60,,,1
52,19,Directed,89,,,1
52,46,Directed,163,,,1
52,53,Directed,179,,,1
53,15,Directed,77,,,1
53,30,Directed,122,,,1
53,41,Directed,146,,,1
53,52,Directed,178,,,1
